CreditDuration;CreditAmount;InstallmentRate;Age;NumberOfCredits;CreditHistory;EmploymentDuration;Housing;Purpose;Savings;Group;Gender;CreditRisk (y);y_hat
24;8648;2;27;2;A33;A72;A152;A49;A61;0;0;0;
14;802;4;27;2;A33;A73;A152;A40;A61;1;0;1;
18;2899;4;43;1;A33;A75;A152;A40;A65;1;0;1;
24;2039;1;22;1;A32;A72;A152;A43;A61;1;0;0;0,458788931
24;2197;4;43;2;A34;A74;A152;A41;A65;1;0;1;
15;1053;4;27;1;A32;A72;A152;A43;A61;1;0;1;
24;3235;3;26;1;A32;A75;A152;A43;A63;1;0;1;0,956116736
12;939;4;28;3;A34;A74;A152;A40;A63;1;0;0;
24;1967;4;20;1;A32;A75;A152;A43;A61;1;1;1;
33;7253;3;35;2;A34;A74;A152;A41;A61;0;0;1;0,929592669
12;2292;4;42;2;A34;A71;A152;A49;A61;1;0;0;
10;1597;3;40;1;A32;A73;A151;A40;A63;1;0;1;0,670266211
24;1381;4;35;1;A32;A73;A152;A40;A65;1;1;0;0,119753689
36;5842;2;35;2;A34;A75;A152;A41;A61;0;0;1;0,956956506
12;2579;4;33;1;A32;A72;A152;A40;A61;1;0;0;0,497174472
18;8471;1;23;2;A33;A73;A151;A46;A65;0;1;1;
21;2782;1;31;1;A32;A74;A152;A40;A63;1;1;1;
18;1042;4;33;1;A32;A73;A152;A40;A65;1;1;0;
15;3186;2;20;1;A32;A74;A151;A40;A64;1;1;1;0,898257434
12;2028;4;30;1;A32;A73;A152;A41;A65;1;0;1;
12;958;2;47;2;A34;A74;A152;A40;A61;1;0;1;0,95056051
21;1591;4;34;2;A33;A74;A152;A42;A62;1;0;1;
12;2762;1;25;1;A32;A75;A152;A42;A65;1;1;0;
18;2779;1;21;1;A32;A73;A151;A41;A61;1;0;1;0,766645968
28;2743;4;29;2;A34;A75;A152;A43;A61;1;0;1;0,880776227
18;1149;4;46;2;A34;A73;A152;A43;A64;1;0;1;0,949173033
9;1313;1;20;1;A32;A75;A152;A42;A61;1;0;1;
18;1190;2;55;3;A34;A71;A153;A45;A61;1;1;0;0,91172564
5;3448;1;74;1;A32;A74;A152;A49;A61;1;0;1;
24;11328;2;29;2;A32;A73;A152;A410;A61;0;0;0;
6;1872;4;36;3;A34;A71;A153;A42;A61;1;0;1;0,912357807
24;2058;4;33;2;A34;A73;A152;A45;A61;1;0;1;0,703273773
9;2136;3;25;1;A32;A73;A152;A42;A61;1;0;1;
12;1484;2;25;1;A32;A73;A152;A43;A65;1;0;0;
6;660;2;23;1;A32;A74;A151;A45;A63;1;0;1;0,938347816
24;1287;4;37;2;A34;A75;A152;A40;A64;1;1;1;
42;3394;4;65;2;A34;A71;A152;A45;A61;1;0;1;0,831732094
12;609;4;26;1;A31;A72;A152;A49;A61;1;1;0;0,475891709
12;1884;4;39;1;A32;A75;A152;A40;A61;1;0;1;
12;1620;2;30;1;A32;A73;A152;A42;A61;1;1;1;
20;2629;2;29;2;A33;A73;A152;A410;A61;1;0;1;
12;719;4;41;1;A32;A75;A152;A46;A61;1;0;0;
48;5096;2;30;1;A34;A73;A152;A42;A61;0;1;0;
9;1244;4;41;2;A34;A75;A151;A46;A65;1;1;1;0,945155144
36;1842;4;34;1;A32;A72;A152;A40;A61;1;1;0;
7;2576;2;35;1;A32;A73;A152;A43;A61;1;0;1;
12;1424;3;55;1;A32;A75;A152;A42;A65;1;1;1;
15;1512;3;61;2;A33;A73;A152;A45;A64;1;0;0;
36;11054;4;30;1;A34;A73;A152;A41;A65;0;0;1;0,828699529
6;518;3;29;1;A32;A73;A152;A43;A61;1;1;1;
12;2759;2;34;2;A30;A75;A152;A42;A61;1;0;1;
24;2670;4;35;1;A32;A75;A152;A41;A61;1;0;1;0,89895612
24;4817;2;31;1;A32;A74;A152;A40;A61;1;0;0;
24;2679;4;29;1;A32;A72;A152;A41;A61;1;1;1;
11;3905;2;36;2;A34;A73;A151;A40;A61;1;0;1;
12;3386;3;35;1;A32;A75;A153;A41;A61;1;0;0;
6;343;4;27;1;A32;A72;A152;A44;A61;1;1;1;
18;4594;3;32;1;A32;A72;A152;A43;A61;1;0;1;
36;3620;1;37;1;A32;A73;A152;A42;A61;1;0;1;
15;1721;2;36;1;A32;A72;A152;A40;A61;1;0;1;
12;3017;3;34;1;A32;A72;A151;A42;A61;1;1;1;0,309243858
12;754;4;38;2;A32;A75;A152;A48;A65;1;0;1;
18;1950;4;34;2;A32;A74;A152;A49;A61;1;0;1;0,66303587
24;2924;3;63;1;A32;A73;A152;A41;A61;1;0;1;0,962124765
24;1659;4;29;1;A33;A72;A151;A43;A61;1;1;0;
48;7238;3;32;2;A33;A75;A152;A43;A65;0;0;1;
33;2764;2;26;2;A33;A73;A152;A49;A61;1;1;1;
24;4679;3;35;2;A33;A74;A152;A41;A61;1;0;1;
24;3092;3;22;1;A32;A72;A151;A43;A62;1;0;0;
6;448;4;23;1;A32;A72;A152;A46;A61;1;1;0;0,235462725
9;654;4;28;1;A32;A73;A152;A40;A61;1;0;0;
6;1238;4;36;1;A32;A71;A152;A48;A65;1;0;1;
18;1245;4;33;1;A34;A73;A152;A43;A61;1;0;0;
18;3114;1;26;1;A30;A72;A151;A42;A61;1;1;0;
39;2569;4;24;1;A32;A73;A152;A41;A63;1;0;1;
24;5152;4;25;1;A32;A74;A152;A43;A61;1;0;1;
12;1037;3;39;1;A32;A74;A152;A49;A62;1;0;1;0,902043223
15;1478;4;44;2;A34;A75;A152;A42;A61;1;0;1;0,98071599
12;3573;1;23;1;A34;A73;A152;A43;A61;1;1;1;0,951929986
24;1201;4;26;1;A32;A72;A152;A40;A61;1;0;1;0,843589127
30;3622;4;57;2;A32;A75;A151;A42;A64;1;1;1;0,356737137
15;960;3;30;2;A33;A74;A152;A42;A64;1;1;1;0,898622692
12;1163;4;44;1;A34;A73;A152;A40;A63;1;0;1;
6;1209;4;47;1;A33;A71;A152;A40;A61;1;0;0;0,967314243
12;3077;2;52;1;A32;A73;A152;A43;A61;1;0;1;0,942496777
24;3757;4;62;1;A32;A75;A153;A40;A61;1;1;1;
10;1418;3;35;1;A32;A73;A151;A40;A62;1;0;1;
6;3518;2;26;1;A32;A73;A151;A40;A61;1;0;1;
12;1934;2;26;2;A34;A75;A152;A43;A61;1;0;1;
27;8318;2;42;2;A30;A75;A153;A49;A61;0;1;0;
6;1237;1;27;2;A34;A73;A152;A43;A62;1;1;1;
6;368;4;38;1;A32;A75;A152;A43;A65;1;0;1;
12;2122;3;39;2;A34;A73;A151;A40;A61;1;0;1;0,823150814
24;2996;2;20;1;A32;A73;A152;A42;A65;1;0;0;0,816740394
36;9034;4;29;1;A32;A72;A151;A42;A62;0;0;0;
24;1585;4;40;2;A34;A74;A152;A42;A61;1;0;1;0,926503301
18;1301;4;32;1;A32;A75;A152;A43;A61;1;0;1;
6;1323;2;28;2;A34;A75;A152;A40;A62;1;0;1;
24;3123;4;27;1;A32;A72;A152;A40;A61;1;1;0;
36;5493;2;42;1;A32;A75;A153;A41;A61;0;0;1;
9;1126;2;49;1;A32;A75;A152;A43;A62;1;0;1;
24;1216;4;38;2;A34;A72;A152;A43;A62;1;0;0;
24;1207;4;24;1;A32;A72;A151;A40;A61;1;1;0;
10;1309;4;27;1;A32;A73;A152;A40;A65;1;0;0;
15;2360;2;36;1;A34;A73;A152;A41;A63;1;0;1;0,978467822
15;6850;1;34;1;A31;A71;A152;A40;A62;0;0;0;0,234490275
24;1413;4;28;1;A32;A73;A152;A43;A61;1;0;1;
39;8588;4;45;1;A32;A75;A152;A41;A62;0;0;1;
12;759;4;26;1;A32;A74;A152;A40;A61;1;0;0;
36;4686;2;32;1;A32;A73;A153;A41;A61;1;0;1;
15;2687;2;26;1;A32;A74;A151;A49;A61;1;0;1;
12;585;4;20;2;A33;A73;A151;A43;A61;1;0;1;
24;2255;4;54;1;A32;A72;A152;A40;A65;1;0;1;0,553801656
6;609;4;37;2;A34;A74;A152;A40;A61;1;1;1;
6;1361;2;40;1;A34;A72;A152;A40;A61;1;0;1;
36;7127;2;23;2;A34;A72;A151;A42;A61;0;1;0;
6;1203;3;43;1;A32;A75;A152;A40;A62;1;0;1;0,981422544
6;700;4;36;2;A34;A75;A153;A43;A65;1;0;1;0,942248523
24;5507;3;44;2;A34;A75;A153;A45;A61;0;0;1;
18;3190;2;24;1;A32;A73;A152;A43;A61;1;1;0;
48;7119;3;53;2;A30;A73;A153;A42;A61;0;0;0;
24;3488;3;23;1;A32;A74;A152;A41;A62;1;1;1;
18;1113;4;26;1;A32;A73;A152;A43;A61;1;1;1;
26;7966;2;30;2;A32;A72;A152;A41;A61;0;0;1;
15;1532;4;31;1;A34;A73;A152;A46;A62;1;1;1;0,829199851
4;1503;2;42;2;A34;A74;A152;A43;A61;1;0;1;0,989408016
36;2302;4;31;1;A32;A73;A151;A43;A61;1;0;0;
6;662;3;41;1;A32;A72;A152;A40;A61;1;0;1;0,896983266
36;2273;3;32;2;A32;A74;A152;A46;A61;1;0;1;0,494374394
15;2631;2;28;2;A32;A73;A151;A40;A62;1;1;0;
12;1503;4;41;1;A33;A73;A151;A41;A61;1;0;1;0,851852477
24;1311;4;26;1;A32;A74;A152;A43;A62;1;0;1;
24;3105;4;25;2;A32;A72;A152;A43;A65;1;0;1;0,794467986
21;2319;2;33;1;A34;A72;A151;A46;A61;1;0;0;0,439891875
6;1374;4;75;1;A32;A71;A152;A40;A65;1;1;1;
18;3612;3;37;1;A34;A75;A152;A42;A61;1;1;1;
48;7763;4;42;1;A32;A75;A153;A40;A61;0;0;0;0,277323991
18;3049;1;45;1;A32;A72;A152;A42;A61;1;1;1;
12;1534;1;23;1;A32;A72;A151;A43;A61;1;0;0;
24;2032;4;60;2;A33;A75;A153;A40;A61;1;0;1;
30;6350;4;31;1;A32;A75;A152;A42;A65;0;0;0;
18;2864;2;34;1;A32;A73;A152;A42;A61;1;0;0;0,825906277
12;1255;4;61;2;A34;A75;A152;A40;A61;1;0;1;0,918165326
24;1333;4;43;2;A33;A71;A153;A40;A61;1;0;0;
24;2022;4;37;1;A34;A73;A152;A40;A61;1;1;1;
24;1552;3;32;1;A32;A74;A152;A43;A61;1;0;1;
12;626;4;24;1;A31;A73;A152;A43;A61;1;1;0;0,658664405
48;8858;2;35;2;A34;A74;A153;A41;A65;0;0;1;
12;996;4;23;2;A34;A74;A152;A45;A65;1;1;1;
6;1750;2;45;1;A31;A75;A152;A43;A63;1;0;1;
48;6999;1;34;2;A32;A74;A152;A43;A61;0;0;0;0,743061602
12;1995;4;27;1;A34;A72;A152;A40;A62;1;0;1;
9;1199;4;67;2;A32;A74;A152;A46;A61;1;1;1;0,58915782
12;1331;2;22;1;A32;A72;A152;A43;A61;1;0;0;0,335771143
18;2278;3;28;2;A30;A72;A152;A40;A62;1;1;0;
21;5003;1;29;2;A30;A73;A152;A40;A65;0;1;0;
24;3552;3;27;1;A31;A74;A152;A42;A61;1;0;0;
18;1928;2;31;2;A34;A72;A152;A42;A61;1;0;0;
24;2964;4;49;1;A32;A75;A153;A41;A65;1;0;1;
24;1546;4;24;1;A31;A74;A151;A43;A61;1;0;0;0,3088153
6;683;2;29;1;A33;A72;A152;A43;A61;1;1;1;
36;12389;1;37;1;A32;A73;A153;A40;A65;0;0;0;
24;4712;4;37;2;A33;A73;A152;A49;A65;1;0;1;
24;1553;3;23;2;A33;A74;A151;A43;A62;1;1;1;
12;1372;2;36;1;A32;A74;A152;A40;A61;1;0;0;
24;2578;2;34;1;A34;A75;A152;A43;A64;1;0;1;0,934160829
48;3979;4;41;2;A32;A74;A152;A43;A65;1;0;1;
48;6758;3;31;1;A32;A73;A152;A43;A61;0;1;0;
24;3234;4;23;1;A32;A72;A151;A42;A61;1;1;0;0,400705755
30;5954;3;38;1;A34;A74;A152;A43;A61;0;0;1;
24;5433;2;26;1;A32;A71;A151;A41;A65;0;1;1;0,815928936
15;806;4;22;1;A32;A73;A152;A49;A61;1;1;1;
9;1082;4;27;2;A32;A75;A152;A43;A61;1;0;1;
15;2788;2;24;2;A34;A74;A152;A42;A61;1;1;1;
12;2930;2;27;1;A32;A74;A152;A43;A61;1;1;1;0,94344753
24;1927;3;33;2;A34;A73;A152;A46;A65;1;1;1;
36;2820;4;27;2;A34;A72;A152;A40;A61;1;0;0;
24;937;4;27;2;A32;A72;A152;A48;A61;1;0;1;0,798553348
18;1056;3;30;2;A34;A75;A152;A40;A61;1;0;0;
12;3124;1;49;2;A34;A72;A152;A40;A61;1;0;1;0,871550918
9;1388;4;26;1;A32;A73;A151;A42;A61;1;1;1;0,603127062
36;2384;4;33;1;A32;A72;A151;A45;A61;1;0;0;0,106993414
12;2133;4;52;1;A32;A75;A153;A40;A65;1;1;1;0,920191765
18;2039;1;20;1;A32;A73;A151;A42;A61;1;1;0;0,461053878
9;2799;2;36;2;A34;A73;A151;A40;A61;1;0;1;
12;1289;4;21;1;A32;A73;A152;A42;A61;1;0;1;
18;1217;4;47;1;A32;A73;A152;A44;A61;1;0;0;0,923143804
12;2246;3;60;2;A34;A75;A152;A42;A61;1;0;0;
12;385;4;58;4;A34;A74;A152;A43;A61;1;1;1;0,912872672
24;1965;4;42;2;A33;A73;A151;A40;A65;1;1;1;0,702863157
21;1572;4;36;1;A32;A75;A152;A49;A64;1;1;1;
24;2718;3;20;1;A32;A73;A151;A40;A61;1;1;0;0,122108929
24;1358;4;40;1;A31;A75;A152;A410;A65;1;0;0;
6;931;1;32;1;A31;A72;A152;A40;A62;1;1;0;
24;1442;4;23;2;A32;A74;A151;A40;A61;1;1;0;0,396267086
24;4241;1;36;3;A30;A73;A152;A49;A61;1;0;0;
18;2775;2;31;2;A34;A74;A152;A40;A61;1;0;0;
24;3863;1;32;1;A33;A73;A153;A49;A61;1;0;1;0,874437571
7;2329;1;45;1;A32;A72;A152;A43;A61;1;1;1;
9;918;4;30;1;A32;A73;A152;A42;A61;1;1;0;
24;1837;4;34;1;A31;A74;A153;A46;A61;1;1;0;0,534245372
36;3349;4;28;1;A32;A73;A152;A42;A61;1;1;0;
10;1275;4;23;1;A32;A72;A152;A42;A61;1;1;1;
24;2828;4;22;1;A31;A73;A152;A42;A63;1;0;1;
24;4526;3;74;1;A34;A73;A152;A49;A61;1;0;1;
36;2671;4;50;1;A32;A73;A153;A43;A62;1;1;0;0,083092444
18;2051;4;33;1;A32;A72;A152;A43;A61;1;0;1;
15;1300;4;45;1;A32;A75;A153;A41;A65;1;0;1;
12;741;4;22;1;A32;A71;A152;A44;A62;1;1;0;0,275957972
10;1240;1;48;1;A32;A75;A153;A40;A62;1;1;0;0,368975967
21;3357;4;29;1;A32;A72;A152;A43;A64;1;1;1;
24;3632;1;22;1;A31;A73;A151;A41;A61;1;1;1;0,480263174
18;1808;4;22;1;A33;A74;A152;A42;A61;1;1;0;0,336583525
48;12204;2;48;1;A30;A73;A152;A49;A65;0;0;1;
60;9157;2;27;1;A33;A73;A153;A43;A65;0;0;1;
6;3676;1;37;3;A34;A73;A151;A40;A61;1;0;1;0,972322822
30;3441;2;21;1;A32;A73;A151;A42;A62;1;1;0;0,405742049
12;640;4;49;1;A32;A73;A152;A40;A61;1;0;1;0,797895312
21;3652;2;27;2;A34;A74;A152;A49;A61;1;0;1;0,913632572
18;1530;3;32;2;A34;A73;A152;A40;A61;1;0;0;
48;3914;4;38;1;A32;A73;A152;A49;A65;1;0;0;
12;1858;4;22;1;A32;A72;A151;A42;A61;1;1;1;
18;2600;4;65;2;A32;A73;A153;A43;A61;1;0;0;
15;1979;4;35;1;A32;A75;A152;A43;A65;1;0;1;
6;2116;2;41;1;A32;A73;A152;A42;A61;1;0;1;
9;1437;2;29;1;A31;A74;A152;A40;A62;1;0;0;
42;4042;4;36;2;A34;A73;A152;A42;A63;1;0;1;0,725900888
9;3832;1;64;1;A32;A75;A152;A46;A65;1;0;1;
24;3660;2;28;1;A32;A73;A152;A43;A61;1;1;1;0,829999626
18;1553;4;44;1;A31;A73;A152;A42;A61;1;0;0;
15;1444;4;23;1;A32;A72;A152;A43;A65;1;0;1;
9;1980;2;19;2;A32;A72;A151;A42;A61;1;1;0;
24;1355;3;25;1;A32;A72;A152;A40;A61;1;1;0;
12;1393;4;47;3;A32;A75;A152;A46;A61;1;0;1;
24;1376;4;28;1;A32;A74;A152;A43;A63;1;1;1;
60;15653;2;21;2;A33;A74;A152;A43;A61;0;0;1;0,81282717
12;1493;4;34;1;A32;A72;A152;A43;A61;1;1;1;
42;4370;3;26;2;A33;A74;A152;A43;A61;1;0;0;
18;750;4;27;1;A32;A71;A152;A46;A61;1;1;0;
15;1308;4;38;2;A32;A75;A152;A45;A61;1;0;1;
15;4623;3;40;1;A32;A73;A152;A46;A62;1;0;0;
24;1851;4;33;2;A34;A74;A152;A43;A61;1;0;1;
18;1880;4;32;2;A34;A74;A152;A43;A61;1;0;1;
36;7980;4;27;2;A33;A72;A151;A49;A65;0;0;0;
30;4583;2;32;2;A30;A73;A152;A42;A61;1;0;1;
12;1386;2;26;1;A32;A73;A152;A40;A63;1;1;0;
24;947;4;38;1;A32;A74;A153;A40;A61;1;0;0;
12;684;4;40;1;A32;A73;A151;A46;A61;1;0;0;
48;7476;4;50;1;A32;A74;A153;A46;A61;0;0;1;0,106080391
12;1922;4;37;1;A32;A73;A152;A42;A61;1;0;0;0,263558418
24;2303;4;45;1;A32;A75;A152;A40;A61;1;0;0;
36;8086;2;42;4;A33;A75;A152;A40;A62;0;0;0;
24;2346;4;35;2;A34;A74;A152;A41;A61;1;0;1;0,981796086
14;3973;1;22;1;A32;A71;A153;A40;A61;1;0;1;
12;888;4;41;1;A32;A75;A152;A40;A61;1;0;0;
48;10222;4;37;1;A32;A74;A152;A43;A65;0;0;1;
30;4221;2;28;2;A30;A73;A152;A49;A61;1;1;1;
18;6361;2;41;1;A34;A75;A152;A42;A61;0;0;1;
12;1297;3;23;1;A32;A73;A151;A43;A61;1;0;1;
12;900;4;23;1;A32;A73;A152;A40;A65;1;0;0;
21;2241;4;50;2;A32;A75;A152;A42;A61;1;0;1;
6;1050;4;35;2;A33;A71;A152;A42;A61;1;0;1;
6;1047;2;50;1;A34;A73;A152;A46;A61;1;1;1;
24;6314;4;27;2;A34;A71;A152;A410;A61;0;0;1;
30;3496;4;34;1;A31;A73;A152;A42;A64;1;0;1;
48;3609;1;27;1;A31;A73;A152;A49;A61;1;1;1;
12;4843;3;43;2;A34;A75;A151;A40;A61;1;0;0;
30;3017;4;47;1;A34;A75;A152;A43;A61;1;0;1;
24;4139;3;27;2;A34;A73;A152;A49;A62;1;0;1;0,911406755
36;5742;2;31;2;A32;A74;A152;A49;A62;0;0;1;
60;10366;2;42;1;A32;A75;A152;A40;A61;0;0;1;
6;2080;1;24;1;A34;A73;A152;A40;A63;1;0;1;
21;2580;4;41;1;A33;A72;A152;A49;A63;1;0;0;0,333618581
30;4530;4;26;1;A34;A74;A151;A43;A61;1;1;1;
24;5150;4;33;1;A34;A75;A152;A42;A61;1;0;1;
72;5595;2;24;1;A32;A73;A152;A43;A62;0;0;0;
24;2384;4;64;1;A32;A75;A151;A43;A61;1;0;1;0,891509414
18;1453;3;26;1;A32;A72;A152;A43;A61;1;1;1;0,63726896
6;1538;1;56;1;A32;A72;A152;A46;A61;1;1;1;0,777632535
12;2279;4;37;1;A32;A73;A153;A43;A65;1;0;1;
15;1478;4;33;2;A33;A73;A152;A43;A61;1;0;1;
24;5103;3;47;3;A34;A72;A153;A43;A61;1;0;1;
36;9857;1;31;2;A33;A74;A152;A49;A62;0;0;1;
60;6527;4;34;1;A32;A73;A153;A40;A65;0;0;1;
10;1347;4;27;2;A34;A74;A152;A43;A65;1;0;1;
36;2862;4;30;1;A33;A75;A153;A40;A62;1;0;1;
9;2753;3;35;1;A32;A75;A152;A43;A62;1;0;1;
12;3651;1;31;1;A32;A73;A152;A40;A64;1;0;1;
15;975;2;25;2;A34;A73;A152;A42;A61;1;0;1;
15;2631;3;25;1;A32;A73;A152;A45;A62;1;1;1;
24;2896;2;29;1;A32;A72;A152;A43;A62;1;0;1;0,860666275
6;4716;1;44;2;A34;A72;A152;A40;A65;1;0;1;0,88413769
24;2284;4;28;1;A32;A74;A152;A43;A61;1;0;1;0,935741305
6;1236;2;50;1;A32;A73;A151;A41;A63;1;0;1;
12;1103;4;29;2;A32;A74;A152;A43;A61;1;0;1;
12;926;1;38;1;A34;A71;A152;A40;A61;1;1;1;
18;1800;4;24;2;A34;A73;A152;A43;A61;1;0;1;
15;1905;4;40;1;A32;A75;A151;A46;A61;1;0;1;
12;1123;4;29;1;A32;A73;A151;A42;A63;1;1;0;
48;6331;4;46;2;A34;A75;A153;A41;A61;0;0;0;0,626973271
24;1377;4;47;1;A32;A75;A153;A43;A62;1;1;1;
30;2503;4;41;2;A33;A75;A152;A49;A62;1;0;1;
27;2528;4;32;1;A32;A72;A152;A49;A61;1;1;1;
15;5324;1;35;1;A32;A75;A153;A40;A63;0;1;1;
48;6560;3;24;1;A32;A74;A152;A40;A62;0;0;0;0,405829459
12;2969;4;25;2;A30;A72;A151;A42;A61;1;1;0;0,100206353
9;1206;4;25;1;A32;A75;A152;A43;A61;1;1;1;
9;2118;2;37;1;A32;A73;A152;A43;A61;1;0;1;
18;629;4;32;2;A34;A75;A152;A43;A63;1;0;1;0,831949711
6;1198;4;35;1;A31;A75;A153;A46;A61;1;1;0;
21;2476;4;46;1;A32;A75;A152;A41;A65;1;0;1;0,96344924
9;1138;4;25;2;A34;A73;A152;A43;A61;1;0;1;
60;14027;4;27;1;A32;A74;A152;A40;A61;0;0;0;
30;7596;1;63;2;A34;A75;A152;A41;A65;0;0;1;0,954931259
30;3077;3;40;2;A34;A75;A152;A43;A65;1;0;1;
18;1505;4;32;1;A32;A73;A153;A43;A61;1;0;1;
24;3148;3;31;2;A34;A73;A152;A43;A65;1;0;1;
20;6148;3;31;2;A30;A75;A152;A41;A62;0;0;1;
9;1337;4;34;2;A30;A72;A152;A43;A61;1;0;0;0,868759751
6;433;4;24;1;A31;A72;A151;A46;A64;1;1;0;0,32717213
12;1228;4;24;1;A32;A73;A152;A40;A61;1;1;0;
9;790;4;66;1;A32;A73;A152;A43;A63;1;1;1;
27;2570;3;21;1;A32;A73;A151;A40;A61;1;1;0;
6;250;2;41;2;A34;A73;A152;A40;A64;1;1;1;
15;1316;2;47;2;A34;A73;A152;A43;A63;1;0;1;
18;1882;4;25;2;A32;A73;A151;A43;A61;1;1;0;0,182189211
48;6416;4;59;1;A31;A75;A151;A49;A61;0;1;0;
24;1275;2;36;2;A34;A73;A152;A49;A64;1;0;1;
24;6403;1;33;1;A33;A72;A152;A43;A61;0;0;1;0,667139173
24;1987;2;21;1;A32;A73;A151;A43;A61;1;0;0;
8;760;4;44;1;A32;A74;A152;A43;A61;1;1;1;
24;2603;2;28;1;A32;A73;A151;A41;A64;1;1;1;0,916983962
4;3380;1;37;1;A34;A74;A152;A40;A61;1;1;1;
36;3990;3;29;1;A31;A72;A152;A44;A65;1;1;1;
24;11560;1;23;2;A32;A73;A151;A41;A61;0;1;0;0,143148571
18;4380;3;35;1;A32;A73;A152;A40;A62;1;0;1;
6;6761;1;45;2;A34;A74;A152;A40;A61;0;0;1;
30;4280;4;26;2;A30;A73;A151;A49;A62;1;1;0;
24;2325;2;32;1;A31;A74;A152;A40;A62;1;0;1;
10;1048;4;23;1;A31;A73;A152;A43;A61;1;0;1;0,867414713
21;3160;4;41;1;A32;A75;A152;A43;A65;1;0;1;
24;2483;4;22;1;A31;A73;A152;A42;A63;1;0;1;0,694415808
39;14179;4;30;2;A34;A74;A152;A42;A65;0;0;1;0,415342033
13;1797;3;28;2;A34;A72;A152;A49;A61;1;0;1;
15;2511;1;23;1;A32;A71;A151;A40;A61;1;1;1;0,681331933
12;1274;3;37;1;A32;A72;A152;A40;A61;1;1;0;
21;5248;1;26;1;A32;A73;A152;A41;A65;1;0;1;
15;3029;2;33;1;A32;A74;A152;A41;A61;1;0;1;
6;428;2;49;1;A32;A75;A152;A42;A61;1;1;1;
18;976;1;23;1;A32;A72;A152;A40;A61;1;1;0;
12;841;2;23;1;A32;A74;A151;A49;A62;1;1;1;0,798072577
30;5771;4;25;2;A34;A74;A152;A43;A61;0;1;1;
12;1555;4;55;2;A33;A75;A153;A45;A64;1;0;0;
24;1285;4;32;1;A32;A74;A151;A40;A65;1;1;0;0,277095258
6;1299;1;74;3;A34;A73;A152;A40;A61;1;0;1;0,990181983
15;1271;3;39;2;A34;A73;A153;A43;A65;1;0;0;0,7692644
24;1393;2;31;1;A32;A73;A152;A40;A61;1;0;1;
12;691;4;35;2;A34;A75;A152;A40;A61;1;0;0;0,950064421
15;5045;1;59;1;A34;A75;A152;A40;A65;0;1;1;
18;2124;4;24;2;A34;A73;A151;A42;A61;1;1;0;
12;2214;4;24;1;A32;A73;A152;A43;A61;1;0;1;
21;12680;4;30;1;A34;A75;A153;A40;A65;0;0;0;
24;2463;4;27;2;A34;A74;A152;A40;A62;1;0;1;0,710704684
12;1155;3;40;2;A32;A75;A152;A43;A61;1;0;1;0,959249616
30;3108;2;31;1;A32;A72;A152;A42;A61;1;0;0;
10;2901;1;31;1;A32;A72;A151;A41;A65;1;1;1;
12;3617;1;28;3;A34;A75;A151;A42;A61;1;0;1;
12;1655;2;63;2;A34;A75;A152;A43;A61;1;0;1;
24;2812;2;26;1;A32;A75;A151;A41;A65;1;1;1;
36;8065;3;25;2;A34;A73;A152;A46;A61;0;1;0;0,117758729
21;3275;1;36;1;A34;A75;A152;A41;A61;1;0;1;
24;2223;4;52;2;A34;A75;A152;A43;A62;1;0;1;
12;1480;2;66;3;A34;A71;A153;A40;A63;1;0;1;
24;1371;4;25;1;A32;A73;A151;A40;A65;1;1;0;
36;3535;4;37;2;A34;A74;A152;A40;A61;1;0;1;
18;3509;4;25;1;A32;A74;A152;A43;A61;1;1;1;0,751349092
36;5711;4;38;2;A34;A75;A152;A41;A64;0;0;1;
18;3872;2;67;1;A32;A71;A152;A45;A61;1;1;1;
39;4933;2;25;2;A34;A74;A152;A43;A61;1;0;0;0,606704354
24;1940;4;60;1;A34;A75;A152;A40;A64;1;0;1;
12;1410;2;31;1;A30;A73;A152;A48;A61;1;0;1;0,906594157
12;836;4;23;1;A32;A72;A152;A40;A62;1;1;0;
20;6468;1;60;1;A32;A71;A152;A41;A65;0;0;1;
18;1941;4;35;1;A32;A73;A152;A49;A64;1;0;1;0,637487173
22;2675;3;40;1;A32;A75;A152;A43;A63;1;0;1;
48;2751;4;38;2;A34;A75;A152;A41;A65;1;0;1;0,929847598
48;6224;4;50;1;A33;A75;A153;A46;A61;0;0;0;0,381168336
40;5998;4;27;1;A34;A73;A152;A46;A61;0;0;0;
21;1188;2;39;1;A32;A75;A152;A49;A61;1;1;0;
24;6313;3;41;1;A32;A75;A152;A41;A65;0;0;1;
6;1221;1;27;2;A34;A73;A152;A42;A65;1;0;1;0,975927711
24;2892;3;51;1;A32;A75;A153;A42;A61;1;0;1;
24;3062;4;32;1;A32;A75;A151;A42;A63;1;0;1;
9;2301;2;22;1;A32;A72;A151;A42;A62;1;1;1;
18;7511;1;51;1;A32;A75;A153;A41;A65;0;0;0;
12;1258;2;22;2;A34;A72;A151;A42;A61;1;1;1;
24;717;4;54;2;A33;A75;A152;A40;A65;1;0;1;
9;1549;4;35;1;A32;A72;A152;A40;A65;1;0;1;
24;1597;4;54;2;A34;A75;A153;A46;A61;1;0;1;
18;1795;3;48;2;A34;A75;A151;A43;A61;1;1;1;
20;4272;1;24;2;A34;A75;A152;A42;A61;1;1;1;0,441966027
12;976;4;35;2;A34;A75;A152;A43;A65;1;0;1;
12;7472;1;24;1;A32;A71;A151;A40;A65;0;1;1;
